horizon,horizon_months,security_id,ticker,company_name,model_version,expected_total_return,expected_price_return,expected_dividend_return,p5,p50,p95,volatility,var_5,cvar_5,expected_shortfall_5,dividend_cut_probability,drawdown_probability,forecast_confidence,selected_distribution
6M,6,000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,student_t,0.1528009682986879,0.1372009682986879,0.0156,-0.1051358162533949,0.1528009682986879,0.3755130235967139,0.1022487201509903,-0.1051358162533949,-0.0672550334611208,-0.0672550334611208,0.2364019851737035,0.204827763009776,75.96183933877094,student_t
6M,6,600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,student_t,0.1454773541363813,0.1267273541363814,0.01875,-0.1219248176505977,0.1454773541363813,0.3755327932265504,0.1052724267537132,-0.1219248176505977,-0.0812359330290215,-0.0812359330290215,0.2568544356494338,0.2052608908232445,75.28733337059926,student_t
6M,6,600036.SHG,600036.SHG,China Merchants Bank Co Ltd,student_t,0.175,0.1234499999999999,0.05155,-0.1276716226749306,0.175,0.4340752789727264,0.1177645941030172,-0.1276716226749306,-0.0788580229198942,-0.0788580229198942,0.2904988309495793,0.204283120659285,75.12307946569125,student_t
6M,6,601818.SHG,601818.SHG,China Everbright Bank Co Ltd,student_t,0.175,0.1463999999999999,0.0286,-0.1203875872731269,0.175,0.4270185866947683,0.1146120472825919,-0.1203875872731269,-0.0722363737012964,-0.0722363737012964,0.2616099420606904,0.2213210950176472,75.19971624746286,student_t
6M,6,ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),student_t,0.175,0.1594999999999999,0.0155,-0.1615239013975868,0.175,0.4619921072475308,0.1300249514736136,-0.1615239013975868,-0.1055064361511853,-0.1055064361511853,0.2675130962848147,0.2201693162396832,73.99039991907664,student_t
6M,6,601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,student_t,0.175,0.1618,0.0132,-0.0994531985793203,0.175,0.4098666025158461,0.1069817782797813,-0.0994531985793203,-0.055623920886514,-0.055623920886514,0.2932908740625924,0.2038014251263882,75.94143375733415,student_t
9M,9,CA.PA,CA.PA,Carrefour SA,student_t,0.2625,0.21675,0.04575,-0.2411206421175312,0.2625,0.6860237314578392,0.1891875125281758,-0.2411206421175312,-0.1468325404653224,-0.1468325404653224,0.3146367263022666,0.2804785578778773,71.82086564142034,student_t
9M,9,ORA.PA,ORA.PA,Orange S.A.,student_t,0.2624999999999999,0.2270999999999999,0.0354,-0.2431935607060205,0.2624999999999999,0.6924817529342815,0.1932266001664556,-0.2431935607060205,-0.1545974878930108,-0.1545974878930108,0.2854251022505119,0.2642991521486296,72.09062854871962,student_t
9M,9,AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,student_t,0.2625,0.2307,0.0318,-0.2005443673856617,0.2625,0.6590883560787528,0.179691104734934,-0.2005443673856617,-0.1248372043952365,-0.1248372043952365,0.2331450315818097,0.26768471165655,73.51065101213064,student_t
9M,9,SHELL.AS,SHELL.AS,Shell PLC,student_t,0.2624999999999999,0.2089499999999999,0.0535499999999999,-0.2431585360539055,0.2624999999999999,0.6916752413918003,0.1927998003508824,-0.2431585360539055,-0.1538409360188359,-0.1538409360188359,0.2755130962848147,0.2731061901079882,72.02834065363149,student_t
