date,period_start,strategy,strategy_label,gross_return,pre_bank_fee_return,net_return,turnover,transaction_cost_usd,transaction_cost_return,bank_fee_usd,bank_fee_return,bank_fee_assessment_aum_usd,total_cost_usd,gross_value_usd,pre_bank_fee_value_usd,net_value_usd,live_weight,available_target_weight,cash_weight,unfilled_target_weight,holding_count,maximum_adv_participation,liquidity_breaches,initial_capital_usd,capital_source,evidence_type
2010-09-30,2010-08-31,current_portfolio,Current Portfolio,0.0782190525580344,0.07821038101105193,0.07821038101105193,0.001778237399689308,6908.3855451597465,8.042472410308541e-06,0.0,0.0,0.0,6908.3855451597465,969089539.2244462,956803464.7652358,926169544.737322,1.0,0.9999999999999998,0.0,0.16223154101160692,8,0.049999999999999774,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2010-10-31,2010-09-30,current_portfolio,Current Portfolio,0.09669879912807199,0.09669230315765032,0.09669230315765032,0.0013152273429819748,5485.890905333284,5.923203733598452e-06,0.0,0.0,0.0,5485.890905333284,1062799333.9150267,1049318995.4426062,1015723011.132446,1.0,0.9999999999999998,0.0,0.13472214945545113,8,0.05000000000000015,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2010-11-30,2010-10-31,current_portfolio,Current Portfolio,-0.04440001625378458,-0.04441351582597419,-0.04441351582597419,0.0030815551170167883,14348.918320048206,1.4126802447894101e-05,0.0,0.0,0.0,14348.918320048206,1015611026.2146881,1002715049.6320207,970611181.102709,1.0,0.9999999999999998,0.0,0.16878996532994706,8,0.04999999999999979,7,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2010-12-31,2010-11-30,current_portfolio,Current Portfolio,0.08963577491433336,0.08962258762984043,0.08689853116076596,0.002641440841157923,11746.792893363721,1.2102470198229345e-05,2643999.6668389738,0.0025,1057599866.7355895,2655746.4597323374,1106646107.560983,1092580967.0354264,1054955867.0687505,1.0,0.9999999999999998,0.0,0.16231991595571557,8,0.04999999999999996,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-01-31,2010-12-31,current_portfolio,Current Portfolio,0.003954494630904611,0.003947696134731338,0.003947696134731338,0.0015030199563292202,7143.863057122834,6.7717174529513045e-06,0.0,0.0,0.0,7143.863057122834,1111022333.6516445,1096894144.6958733,1059120512.2674899,1.0,0.9999999999999998,0.0,0.15369464687344814,8,0.04999999999999991,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-02-28,2011-01-31,current_portfolio,Current Portfolio,0.07219813893789749,0.07214863716564901,0.07214863716564901,0.010126275087134384,48897.99793342344,4.616849297794908e-05,0.0,0.0,0.0,48897.99793342344,1191236078.459733,1176033562.3506608,1135534613.8217733,1.0,0.9999999999999998,0.0,0.1421736950064908,8,0.05000000000000005,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-03-31,2011-02-28,current_portfolio,Current Portfolio,0.025474746692717622,0.025462679558448054,0.025462679558448054,0.0025834660584431943,13362.248750554885,1.1767363661053615e-05,0.0,0.0,0.0,13362.248750554885,1221582515.809721,1205978528.0987759,1164448367.8210433,1.0000000000000002,0.9999999999999998,-2.220446049250313e-16,0.1692814181120926,8,0.04999999999999982,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-04-30,2011-03-31,current_portfolio,Current Portfolio,0.03734225540778474,0.03733403801399704,0.03733403801399704,0.0017560056537235444,9224.2755309169,7.921583975576083e-06,0.0,0.0,0.0,9224.2755309169,1267199162.1167717,1251002576.3108797,1207921927.4506109,1.0,0.9999999999999998,0.0,0.17784520573965454,8,0.05000000000000013,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-05-31,2011-04-30,current_portfolio,Current Portfolio,-0.011264632687998566,-0.011269725326382485,-0.011269725326382485,0.001149650843267628,6221.593538453375,5.1506586618428295e-06,0.0,0.0,0.0,6221.593538453375,1252924629.0129867,1236904120.8932593,1194308979.112528,1.0,0.9999999999999998,0.0,0.16338595337696907,8,0.049999999999999795,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-06-30,2011-05-31,current_portfolio,Current Portfolio,0.015617749617011888,0.01561332936791282,0.01561332936791282,0.0009758160709003472,5197.96270853959,4.352276336733324e-06,0.0,0.0,0.0,5197.96270853959,1272492492.157899,1256216312.3292944,1212956118.5704677,1.0,0.9999999999999998,0.0,0.1628223188183597,8,0.05000000000000007,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
