strategy,period,embargo_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,embargo_sharpe_change
optimised_dividend_income,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,13.225977947300695,0.10538236901437381,0.11122751775077447,0.14580570022425232,0.6311588562082292,0.5567411296316628,1.012910277789882,-0.42998895379268365,35,0.24508157264240613,0.058126613392125784,0.09094026909116704,-0.24354455762758895,5.513895495319601,0.6509433962264151,-0.17844645332376408,0.1659015481438777,1422597.7947300696,1322597.7947300696,0.10155785260394212
optimised_dividend_income,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.4467116620213203,0.13099493702886633,0.13039632293587836,0.11804489245648649,0.7327167088121713,1.0499754591103316,1.413601542765237,-0.10162223809650062,11,1.289038103101738,0.045105271833591365,0.04946816128425796,0.32842348070087224,3.776085873715337,0.6666666666666666,-0.05178467467590642,0.10217547021117968,144671.16620213204,44671.16620213203,0.10155785260394212
optimised_mean_variance,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,9.645832754496185,0.09335575643266014,0.09710736556131822,0.12281991870883145,0.6338643621245661,0.5984278697377265,1.019193048733587,-0.33963555915898136,34,0.27487038360715604,0.05515499823796784,0.07673903431866833,-0.2550950625016053,4.849447365973868,0.6415094339622641,-0.14279737977700524,0.135006911210922,1064583.2754496185,964583.2754496185,0.2942366335445391
optimised_mean_variance,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5314544706600841,0.1526603740755592,0.14905865067217244,0.11330295201032357,0.9281009956691052,1.3635664239946244,1.9733190746079168,-0.08546356177074643,8,1.786262717262666,0.036020708473641666,0.046905797114826786,0.2281130538046762,2.6749632341872216,0.6666666666666666,-0.05005990384710579,0.08243608187981666,153145.4470660084,53145.44706600841,0.2942366335445391
optimised_regime_aware,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,10.832202922903019,0.09772370271650255,0.10334593184943232,0.13998399771103875,0.6012470366821888,0.5653257284195912,0.973861400963707,-0.43316417721184075,65,0.22560430399744336,0.06132977791410796,0.08551935468959265,-0.10726693995043457,4.715314775106383,0.6257861635220126,-0.15335604178209628,0.1533285222325349,1183220.2922903018,1083220.2922903018,0.4557468916259627
optimised_regime_aware,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5989535538100208,0.1693520540738256,0.16358827190931208,0.1132024736427748,1.0569939283081515,1.5971960611921048,2.3920173195467433,-0.07561625194361576,6,2.239625076896236,0.03206972791847226,0.04432228384094694,0.3045801173073365,2.779044245365479,0.6944444444444444,-0.044536597222107344,0.09188253377612265,159895.35538100207,59895.35538100208,0.4557468916259627
optimised_risk_parity,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,18.083824518285645,0.11770449310122433,0.11968064348216353,0.12554615741861283,0.8008383341859907,0.7315698151080259,1.3020646920377374,-0.3179461762582063,26,0.3702025748082458,0.05713776400592337,0.07837652492322265,-0.44234141203855554,5.399498867166544,0.6823899371069182,-0.16946489429277511,0.13531980818418066,1908382.4518285645,1808382.4518285645,-0.12311561183438746
optimised_risk_parity,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.41961259578420473,0.12388863963670182,0.12420737626029026,0.11871091971123447,0.6777227223516032,1.0422757726602214,1.170724194066594,-0.10774099996010578,9,1.1498746037495027,0.05412283222480249,0.0646181650469686,-0.3650489296987365,3.07377085618964,0.6388888888888888,-0.07346759740245212,0.07308202904084604,141961.25957842046,41961.259578420475,-0.12311561183438746
optimised_score_weighted,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,11.46358957422782,0.09987928867516738,0.10328771149446292,0.12466743291032965,0.6746289487483742,0.6629024625597499,1.1110892654309004,-0.32624538616880183,34,0.3061477431085848,0.057420173083680956,0.07553525133659404,-0.039975264506728767,4.837251438503413,0.6635220125786163,-0.12065983076532694,0.14127952593443216,1246358.957422782,1146358.957422782,0.3407449326869775
optimised_score_weighted,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5627064886631226,0.16044832271018983,0.15549031182411477,0.10980014012570699,1.0153738814353517,1.339120538129388,2.227747693923492,-0.08992740886330453,9,1.7841982187442056,0.03292147579679203,0.03980400194889622,0.30496298309321046,3.141533874655871,0.6388888888888888,-0.04365109577497195,0.09829753301950994,156270.64886631226,56270.64886631226,0.3407449326869775
final_portfolio,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,7.643263374944203,0.08479164111729687,0.08863988006880663,0.11845909455257977,0.5865256985765329,0.5197217826164672,0.9517035599680539,-0.35823254106852953,51,0.23669441325565202,0.052715757187648635,0.07150717595585124,-0.10788489163544966,4.403098316113497,0.6320754716981132,-0.11703035089504965,0.1286676186451321,1608170095.3256001,1422109573.3256001,0.37148078211384417
final_portfolio,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5587511888303456,0.15946844175883124,0.1553822845177799,0.11631665406525167,0.9580064806903771,1.4269276443522911,1.9216704145979333,-0.08342634733728638,8,1.9114877595457038,0.046339800562428146,0.050874123754840406,-0.037210146408407106,2.570417726015678,0.6388888888888888,-0.05282119640270466,0.07992853924930898,290022059.86189467,103961537.86189467,0.37148078211384417
drl_baseline,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,7.643263374944201,0.08479164111729687,0.08863988006880663,0.11845909455257972,0.586525698576533,0.5197217826164673,0.9517035599680541,-0.3582325410685294,51,0.2366944132556521,0.052715757187648635,0.07150717595585122,-0.10788489163545006,4.4030983161135016,0.6320754716981132,-0.11703035089504965,0.1286676186451321,1608170095.3255997,1422109573.3255997,0.37148078211384483
drl_baseline,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5587511888303454,0.15946844175883101,0.15538228451777988,0.11631665406525159,0.9580064806903779,1.426927644352293,1.9216704145979349,-0.08342634733728627,8,1.9114877595457038,0.046339800562428035,0.05087412375484035,-0.03721014640840717,2.570417726015677,0.6388888888888888,-0.05282119640270466,0.07992853924930876,290022059.8618946,103961537.86189462,0.37148078211384483
drl_challenger_raw,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,7.051312987847728,0.08189135227962785,0.08528244411983321,0.112691602281848,0.5868089722253056,0.5202097886999444,0.952749118148714,-0.3434658706689233,51,0.23842646176209248,0.05035773117634592,0.06806438502924764,-0.11239736961303112,4.420942435658192,0.6352201257861635,-0.11148954860391025,0.12283252264420508,1498031497.304328,1311970975.304328,0.3704679302423226
drl_challenger_raw,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5375377008695175,0.15418455360036787,0.1501768871019631,0.11097002071687555,0.9572769024676282,1.4268721562912523,1.9284588493640402,-0.07897292542845002,8,1.9523723195496925,0.04411049874118031,0.04866819637501052,-0.04085963455353627,2.575033092019962,0.6388888888888888,-0.05009954090736579,0.0764441483427929,286075067.2184623,100014545.21846227,0.3704679302423226
trend_risk_controlled_indices,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,1.7346391889668986,0.038692016755248915,0.04176144688383587,0.08611003750503403,0.2629128797324678,0.24909253306775436,0.3755560492815303,-0.23302351883128902,98,0.16604339746179123,0.036335874414981685,0.061838997780549694,-0.7887084721292043,7.649631090144582,0.6855345911949685,-0.12986809410708133,0.09821897386111833,273463.91889668984,173463.91889668987,0.3261625970690186
trend_risk_controlled_indices,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.3121366790708766,0.09477874892079141,0.09455506650734746,0.08626868177025916,0.5890754768014864,0.925428675945819,0.9148525402734066,-0.08264961681786265,5,1.1467536398826637,0.022464406857283042,0.05321011051385138,-1.1479329599730272,7.12169170470255,0.7222222222222222,-0.08264961681786265,0.06419434225936449,131213.66790708766,31213.66790708766,0.3261625970690186
