date,as_of_date,strategy,gross_return,transaction_cost,net_return,turnover,valid_outcome_weight,holding_count,regime,evidence_mode
2025-11-30,2025-10-31,equal_weight_eligible,0.015973452404845,0.0001479107929542,0.0158255416118908,0.0249999999999999,1.0,360,steady,reconstructed_pit_proxy
2025-11-30,2025-10-31,cap_weight_eligible,0.021753751799963,0.0001927208192376,0.0215610309807253,0.0409283096654319,1.0,360,steady,reconstructed_pit_proxy
2025-12-30,2025-11-30,wolf_cvar,-0.0111680191589167,0.0007468739302029,-0.0119148930891197,0.1,1.0,25,steady,reconstructed_pit_proxy
2025-12-30,2025-11-30,equal_weight_eligible,0.0262520945890306,0.0001251810317991,0.0261269135572315,0.0194444444444444,1.0,360,steady,reconstructed_pit_proxy
2025-12-30,2025-11-30,cap_weight_eligible,0.0179503665901522,0.0001451929983628,0.0178051735917894,0.0316921175890184,1.0,360,steady,reconstructed_pit_proxy
2026-01-31,2025-12-31,wolf_cvar,0.0241771972789227,0.000715472305633,0.0234617249732897,0.0999999999999999,0.9999999999999998,26,steady,reconstructed_pit_proxy
2026-01-31,2025-12-31,equal_weight_eligible,0.0330793920982986,0.0002430299827027,0.0328363621155958,0.0444444444444444,0.9999999999999998,344,steady,reconstructed_pit_proxy
2026-01-31,2025-12-31,cap_weight_eligible,0.0296209212784963,0.0001652713413986,0.0294556499370976,0.0350158605022773,1.0000000000000002,344,steady,reconstructed_pit_proxy
2026-02-28,2026-01-31,wolf_cvar,0.0539281239739523,0.0008025464239069,0.0531255775500453,0.1000000000000001,1.0000000000000002,30,steady,reconstructed_pit_proxy
2026-02-28,2026-01-31,equal_weight_eligible,0.0360297834993173,0.0002683777626572,0.0357614057366601,0.0494186046511628,0.9999999999999998,331,steady,reconstructed_pit_proxy
2026-02-28,2026-01-31,cap_weight_eligible,0.0278763913770383,0.0002596472047467,0.0276167441722915,0.054734784793914,1.0,331,steady,reconstructed_pit_proxy
2026-03-28,2026-02-28,wolf_cvar,0.0075600674934304,0.0008293317404689,0.0067307357529614,0.1,1.0,31,steady,reconstructed_pit_proxy
2026-03-28,2026-02-28,equal_weight_eligible,-0.0514299097901946,0.0002379258749129,-0.0516678356651076,0.039274924471299,1.0,324,steady,reconstructed_pit_proxy
2026-03-28,2026-02-28,cap_weight_eligible,-0.0396166589575968,0.0002729673915925,-0.0398896263491894,0.0522749986540416,0.9999999999999998,324,steady,reconstructed_pit_proxy
2026-04-30,2026-03-31,wolf_cvar,0.0137538791532174,0.0010269316710096,0.0127269474822078,0.0999999999999999,0.9999999999999998,32,steady,reconstructed_pit_proxy
2026-04-30,2026-03-31,equal_weight_eligible,0.0451496287032239,0.0004720501390797,0.0446775785641442,0.0799999999999999,1.0,350,steady,reconstructed_pit_proxy
2026-04-30,2026-03-31,cap_weight_eligible,0.0311857367856205,0.0003900275337483,0.0307957092518721,0.0740311147386825,1.0,350,steady,reconstructed_pit_proxy
2026-05-30,2026-04-30,wolf_cvar,-0.012982657024515,0.007072343212301,-0.0200550002368161,0.4571532367087842,1.0,20,steady,reconstructed_pit_proxy
2026-05-30,2026-04-30,equal_weight_eligible,0.0021072260265199,0.0017503047225132,0.0003569213040066,0.2666666666666667,1.0,375,steady,reconstructed_pit_proxy
2026-05-30,2026-04-30,cap_weight_eligible,0.0020581524054427,0.0015083435585848,0.0005498088468579,0.2417328117852458,0.9999999999999998,375,steady,reconstructed_pit_proxy
2026-06-30,2026-05-31,wolf_cvar,-0.0349369618665424,0.0007809187830428,-0.0357178806495853,0.0999999999999999,1.0,24,steady,reconstructed_pit_proxy
2026-06-30,2026-05-31,equal_weight_eligible,-0.0181368024820999,0.000285652579107,-0.0184224550612069,0.0506666666666666,0.9999999999999996,367,steady,reconstructed_pit_proxy
2026-06-30,2026-05-31,cap_weight_eligible,-0.0118890935545132,0.0003725958472294,-0.0122616894017426,0.074588406046772,1.0,367,steady,reconstructed_pit_proxy
2026-07-30,2026-06-30,wolf_cvar,0.1139889299139299,0.0007889311647556,0.1131999987491743,0.0999999999999999,1.0,27,steady,reconstructed_pit_proxy
2026-07-30,2026-06-30,equal_weight_eligible,0.0853678204463638,0.0001853192681471,0.0851825011782166,0.0272479564032697,1.0,366,steady,reconstructed_pit_proxy
2026-07-30,2026-06-30,cap_weight_eligible,0.0773338145081354,0.0002245321661905,0.0771092823419448,0.0498918256776283,1.0,366,steady,reconstructed_pit_proxy
