strategy,strategy_label,window,initial_capital_usd,capital_source,evidence_type,full_investment_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,gross_cagr,pre_bank_fee_cagr,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,ending_value_before_bank_fee_usd,ending_value_bank_fee_drag_usd,annualised_turnover,average_live_weight,minimum_live_weight,liquidity_breach_count,maximum_adv_participation,probabilistic_sharpe_ratio,minimum_track_record_months,deflated_sharpe_ratio,cluster_adjusted_deflated_sharpe_ratio,sidak_significant
region_index_mainland_china,Shanghai Composite Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-07-31,2013-09-30,2026-07-31,155,12.916666666666666,0.6554294995946683,0.039795478009682306,0.06075795987957513,0.20888699777630035,0.2032026517516484,0.18764200238902648,0.3156360936958755,-0.5125159407535022,134,0.07764729805511005,0.07766795561827357,0.12524536131782718,0.10775699873175093,5.452588719799316,0.5225806451612903,-0.23794609468641859,0.19366655468391314,165542.94995946685,65542.94995946683,0.039795478009682306,0.039795478009682306,0.0,0.0,0.0,0.0,0.0,0.0,165542.94995946685,0.0,0.0,1.0,1.0,0,,,,,,
region_index_hong_kong,Hang Seng Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,0.1778937108705645,0.012756381989969867,0.03337449310232479,0.20582055593152915,0.07355868335098646,0.08753975677067985,0.11268870673306368,-0.5550517030031783,102,0.022982331053034932,0.09273063046444313,0.11276840739887786,0.5557071148646374,5.490640828331712,0.5225806451612903,-0.14723541574597399,0.27350391711065547,117789.37108705645,17789.37108705645,0.012756381989969867,0.012756381989969867,0.0,0.0,0.0,0.0,0.0,0.0,117789.37108705645,0.0,0.0,1.0,1.0,0,,,,,,
dow_jones,Dow Jones Industrial Average,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,2.543817298404561,0.10290908812838073,0.10854909818240814,0.14328718434837917,0.63022730144042,0.9060604142190237,1.0085338626670701,-0.23201266165063417,23,0.44354944853545,0.05418603845099181,0.08347803292780849,-0.21107281180407253,4.207902891690853,0.6774193548387096,-0.13743751533483906,0.13950803609134166,354381.7298404561,254381.72984045607,0.10290908812838073,0.10290908812838073,0.0,0.0,0.0,0.0,0.0,0.0,354381.7298404561,0.0,0.0,1.0,1.0,0,,,,,,
nasdaq_composite,Nasdaq Composite Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,6.068180402374626,0.16346372828484745,0.1677785223727183,0.17660364478349713,0.847400670032195,1.0034361858240224,1.4404039986139476,-0.33100027346299743,25,0.4938477137032368,0.08363229545593598,0.09874699012759845,-0.16228368143080796,3.4016757339045967,0.6516129032258065,-0.1326168062051618,0.15447197983741723,706818.0402374626,606818.0402374626,0.16346372828484745,0.16346372828484745,0.0,0.0,0.0,0.0,0.0,0.0,706818.0402374626,0.0,0.0,1.0,1.0,0,,,,,,
russell_2000,Russell 2000 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,1.8997329281792132,0.08591406460435014,0.10199966527732812,0.19626264905824323,0.4267003190975873,0.4985890767557985,0.6523902818749827,-0.3375843885762244,40,0.25449655704369545,0.08439599935799579,0.11446829062569,-0.2833034372902129,4.3465528522745505,0.6129032258064516,-0.21899451132976133,0.1828687856793514,289973.2928179213,189973.29281792132,0.08591406460435014,0.08591406460435014,0.0,0.0,0.0,0.0,0.0,0.0,289973.2928179213,0.0,0.0,1.0,1.0,0,,,,,,
ftse_250,FTSE 250 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,0.4275463849480352,0.027941206581853395,0.046623522692828226,0.19315266911776155,0.1469992157688038,0.16570858698422392,0.20584412569949262,-0.42308221714109107,59,0.06604202552085864,0.08861003304073507,0.13255217615322687,-0.6392063665747661,4.975109881725501,0.5419354838709678,-0.2386182427800797,0.15843835568052178,142754.6384948035,42754.63849480352,0.027941206581853395,0.027941206581853395,0.0,0.0,0.0,0.0,0.0,0.0,142754.6384948035,0.0,0.0,1.0,1.0,0,,,,,,
cac_40,CAC 40 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,0.8883112037915777,0.05044528893083511,0.06516729322186311,0.17913175366941375,0.26207324005464366,0.2899182949063636,0.4024453527093173,-0.3036762656829535,40,0.16611534924333338,0.07325860420425691,0.10316613554443901,0.17366362822624895,5.1582342333989235,0.567741935483871,-0.17096096678373918,0.23223177625234426,188831.12037915777,88831.12037915777,0.05044528893083511,0.05044528893083511,0.0,0.0,0.0,0.0,0.0,0.0,188831.12037915777,0.0,0.0,1.0,1.0,0,,,,,,
euro_stoxx_50,EURO STOXX 50 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,2007-03-31,2013-09-30,2026-07-31,155,12.916666666666666,1.0394170719665263,0.056724456573590265,0.07205002242292276,0.18401749292441477,0.29300805512151235,0.31708159632020766,0.44961943107079116,-0.3444366447038625,44,0.1646876354354237,0.07870688755209773,0.10084036990242654,0.09048426066427676,4.121579247173465,0.5741935483870968,-0.16182361769350195,0.21113773918041323,203941.70719665263,103941.70719665263,0.056724456573590265,0.056724456573590265,0.0,0.0,0.0,0.0,0.0,0.0,203941.70719665263,0.0,0.0,1.0,1.0,0,,,,,,
nikkei_225,Nikkei 225 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,1.9665525800908052,0.0878310457857463,0.09894722300687106,0.1709492526139593,0.47302723564520005,0.5320515503408754,0.7521970151842041,-0.3401333277086268,51,0.25822534468303043,0.08319453737531439,0.1014438395051638,-0.008326955696500467,4.241499514735413,0.5806451612903226,-0.14883810290198374,0.17893340232023158,296655.25800908054,196655.2580090805,0.0878310457857463,0.0878310457857463,0.0,0.0,0.0,0.0,0.0,0.0,296655.25800908054,0.0,0.0,1.0,1.0,0,,,,,,
swiss_market,Swiss Market Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,1.1344389012099727,0.060456683909128506,0.06873882397746306,0.14083815661699023,0.3591016073776136,0.46209721414795196,0.541487485444473,-0.2591798449011301,31,0.2332615174308444,0.05935581093919294,0.08038277782833626,-0.29707299085949596,3.0061582576152923,0.5870967741935483,-0.12703371466370228,0.1054218231218984,213443.89012099727,113443.89012099727,0.060456683909128506,0.060456683909128506,0.0,0.0,0.0,0.0,0.0,0.0,213443.89012099727,0.0,0.0,1.0,1.0,0,,,,,,
msci_eafe_proxy,iShares MSCI EAFE adjusted-close proxy,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,2001-08-31,2013-09-30,2026-07-31,155,12.916666666666666,1.6173226830419907,0.0773336875649675,0.0851832001829849,0.14496137254748953,0.462791498254442,0.5117565565934666,0.7109406359243373,-0.276224168875534,34,0.2799671291610036,0.06303542840721296,0.08748404939853144,-0.2287047809814547,4.098899862916335,0.6258064516129033,-0.14106697770825583,0.14269413370066952,261732.26830419907,161732.26830419907,0.0773336875649675,0.0773336875649675,0.0,0.0,0.0,0.0,0.0,0.0,261732.26830419907,0.0,0.0,1.0,1.0,0,,,,,,
msci_acwi_proxy,iShares MSCI ACWI adjusted-close proxy,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,2008-03-31,2013-09-30,2026-07-31,155,12.916666666666666,2.9456841825315525,0.11211937122234938,0.1164705352354293,0.13969163326664763,0.7042700940985127,0.8492662774612754,1.1144164737676467,-0.25738401158548674,24,0.4356112507987327,0.06321451302091963,0.08489869583817002,-0.413613614572911,3.8252987391142956,0.6709677419354839,-0.13409914844939885,0.1176094058898054,394568.41825315525,294568.41825315525,0.11211937122234938,0.11211937122234938,0.0,0.0,0.0,0.0,0.0,0.0,394568.41825315525,0.0,0.0,1.0,1.0,0,,,,,,
equal_weight_regional_indices,Equal-Weight Regional Index Basket,common_investable_window,100000.0,fixed_research_capital,index_benchmark,1997-07-31,2013-09-30,2026-07-31,155,12.916666666666666,1.1752869872170018,0.06201417752552385,0.0707088510235141,0.14437043509168979,0.36386429590569136,0.4048444587614306,0.5456276124521068,-0.2850883314112699,39,0.21752618642276833,0.0685428841565338,0.09165916087864212,-0.23691994223600574,3.9868153994276296,0.6258064516129033,-0.1240451731437957,0.1346396531373526,217528.69872170017,117528.69872170017,0.06201417752552385,0.06201417752552385,0.0,0.0,0.0,0.0,0.0,0.0,217528.69872170017,0.0,0.1274137943086612,0.9999999999999998,0.9999999999999999,0,,,,,,
