strategy,strategy_label,window,initial_capital_usd,capital_source,evidence_type,full_investment_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,gross_cagr,pre_bank_fee_cagr,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,ending_value_before_bank_fee_usd,ending_value_bank_fee_drag_usd,annualised_turnover,average_live_weight,minimum_live_weight,liquidity_breach_count,maximum_adv_participation
final_portfolio,Final Resolved Portfolio,requested_1997_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2014-08-31,1997-02-28,2026-07-31,354,29.5,9.622867735542016,0.08339756899371609,0.0867594431309207,0.11324382107588109,0.5754911467377333,0.5184159971667663,0.9219186826379807,-0.3733847976666619,37,0.22335555575609967,0.04990284163782408,0.06978814644298303,-0.20374927040834784,4.524124563542978,0.6497175141242938,-0.13110357966302566,0.11807586072024967,1976496316.0119054,1790435794.0119054,0.08705590800921303,0.08606677274478369,0.0009891352644293416,0.002669203751067606,0.0036583390154969475,19357180.0406442,49663292.71744439,69020472.75808859,2125307539.092148,148811223.08024263,0.22200460067071026,0.7111325615564517,0.03857201250741781,1966,0.050000000000042975
drl_baseline,DRL Baseline Portfolio,requested_1997_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2014-08-31,1997-02-28,2026-07-31,354,29.5,9.62286773554203,0.08339756899371631,0.08675944313092075,0.11324382107588125,0.5754911467377329,0.5184159971667662,0.9219186826379804,-0.3733847976666622,37,0.22335555575610005,0.04990284163782416,0.06978814644298313,-0.2037492704083478,4.524124563542978,0.6497175141242938,-0.13110357966302588,0.11807586072024989,1976496316.011908,1790435794.011908,0.08705590800921303,0.08606677274478391,0.0009891352644291196,0.002669203751067606,0.0036583390154967255,19357180.04064423,49663292.71744443,69020472.75808865,2125307539.092153,148811223.08024502,0.22200460067071037,0.7111325615564529,0.03857201250741781,1966,0.05000000000004292
drl_challenger_raw,DRL Raw Challenger,requested_1997_window,186060522.0,current_portfolio_nav,research_challenger_replay,2014-07-31,1997-02-28,2026-07-31,354,29.5,8.814461950522265,0.08049458090915951,0.08345309707681618,0.10774767336319917,0.5742098310976638,0.517396716430288,0.9207375001978546,-0.3579558669665207,36,0.22487291964595205,0.04738181018567886,0.06640818405771896,-0.20726730561893913,4.523041254932227,0.6581920903954802,-0.12463531181011656,0.11246984139440253,1826083913.6633108,1640023391.6633108,0.08410923281324534,0.08315663246891125,0.0009526003443340869,0.0026620515597517436,0.0036146519040858305,17817900.06702262,47249334.699602164,65067234.766624786,1963570524.9147375,137486611.2514267,0.2170689452294712,0.6772063801019584,0.03857201250741781,1870,0.05000000000007943
trend_risk_controlled_indices,Trend and Risk-Controlled Regional Indices,requested_1997_window,100000.0,fixed_research_capital,point_in_time_index_challenger,1998-01-31,1997-02-28,2026-07-31,354,29.5,2.588220383868103,0.04426196806335936,0.04713028955741332,0.08612736288504433,0.29664066663908717,0.28948739541922236,0.4267099904522123,-0.23302351883128902,120,0.1899463551376777,0.035669736058909864,0.06156864008315778,-0.8166516022612905,7.482018997885315,0.6892655367231638,-0.12986809410708133,0.09821897386111833,358822.0383868103,258822.03838681028,0.04874083163740739,0.046834752092070886,0.0019060795453365031,0.0025727840287115278,0.004478863574048031,12170.596541420486,16094.054969281095,28264.65151070158,385837.89769700065,27015.859310190368,1.2659874338107149,0.5139806675816107,0.0,0,
current_portfolio,Current Portfolio,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2000-09-30,2014-08-31,2026-07-31,144,12.0,3.8328070153457716,0.14029342745120843,0.14530078684638947,0.16377348050625987,0.7679492337584214,0.8131539474194772,1.273526676468587,-0.2891143777337608,21,0.48525233698478193,0.06870951870026684,0.09205206713186574,-0.23001548138855515,3.4982239636918573,0.625,-0.13499656971288476,0.14991949184526177,899194596.0004963,713134074.0004963,0.14380544167343823,0.14315130571549717,0.0006541359579410599,0.002857878264288738,0.003512014222229798,28186956.168298446,126118183.17556164,154305139.3438601,926613953.746961,27419357.74646473,0.13293579320729448,0.9860552278408782,0.9151217939474445,780,0.050000000000000655
portfolio_aware_overlay,Portfolio-Aware Overlay,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2001-10-31,2014-08-31,2026-07-31,144,12.0,4.03629444869502,0.14421927507038568,0.14649933375072705,0.14936630481937782,0.8500793235409628,0.8555750004488479,1.4412729419902541,-0.2694149946581509,20,0.5353053019687316,0.06319006184487579,0.07928552744223677,-0.14347045659843424,3.564924885611103,0.6666666666666666,-0.10764551924105292,0.1530188324314914,937055574.0698975,750995052.0698975,0.14794223063408363,0.14708699255176505,0.0008552380823185768,0.0028677174813793727,0.0037229555636979494,34508985.423687845,114530828.89694968,149039814.32063752,965629435.7545892,28573861.684691668,0.15460362798240782,0.9932101022621941,0.9560734343645502,1008,0.05000000000000062
clean_sheet,Clean-Sheet Quant,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,2014-08-31,2026-07-31,144,12.0,1.8169442111136789,0.09013810533954647,0.09266869850812669,0.11102857395934825,0.6593580907719631,0.6919572415886464,1.160778177953799,-0.17284483011673224,22,0.5214972601649175,0.04384778333428945,0.06017139802026747,0.2583400713955564,4.602250428333289,0.6319444444444444,-0.0957135363387912,0.11622370287449302,281694.4211113679,181694.42111136788,0.09331467811850436,0.09287028104215178,0.0004443970763525762,0.0027321757026053106,0.003176572778957887,3166.8951983902116,19917.035570935706,23083.930769325918,290284.1970530721,8589.775941704225,0.23592169340073726,0.6770833333333335,0.6500000000000001,0,0.004052392489607089
llm_benchmark,LLM Analyst Benchmark,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-09-30,2014-08-31,2026-07-31,144,12.0,1.1685148882632292,0.06662936032489575,0.06642145720036793,0.059424284558026785,0.7863975971458641,0.8853002224398653,1.4523420324557268,-0.07554516593724536,25,0.8819804615988813,0.022469698119099317,0.030453011468598162,0.011729829345843434,3.553033890387356,0.6597222222222222,-0.049014066411377955,0.05348245553057418,216851.48882632292,116851.48882632292,0.0696004773734491,0.0693026168670634,0.0002978605063856943,0.002673256542167657,0.002971117048553351,1092.7378671257338,10050.995163939477,11143.73303106521,223463.99359050734,6612.504764184414,0.18146725307493478,0.2972222222222222,0.25,0,0.005056428919796106
optimised_cvar_constrained,CVaR-Constrained Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2013-09-30,2014-08-31,2026-07-31,144,12.0,1.8169856606090917,0.09013944205308788,0.09470169814085344,0.12807346370418132,0.5876122641242053,0.6271857094349399,0.9850283709722236,-0.2121145520927974,36,0.42495642643911125,0.04914903788283469,0.07093080463687267,0.06321084178499493,3.671439957561242,0.6180555555555556,-0.08599833293110604,0.12477541727778285,281698.5660609092,181698.5660609092,0.09352676477959987,0.09287162110585223,0.0006551436737476379,0.0027321790527643497,0.0033873227265119876,4626.804885351201,19310.519547478332,23937.324432829533,290288.46839555964,8589.902334650455,0.27180197826629043,0.9524305555555556,0.8,0,0.02169233778634909
optimised_dividend_income,Dividend-Income Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,2014-08-31,2026-07-31,144,12.0,2.3249439282094695,0.10530472648032907,0.11329184972722887,0.16205782334699526,0.5780522400580128,0.5830175971501576,1.020903643505326,-0.2578497609229826,35,0.4083956723612501,0.05883799884513501,0.08442096651697602,0.5721909964951089,5.1673173873784854,0.5902777777777778,-0.11112226987617602,0.18561373377988732,332494.39282094693,232494.39282094696,0.10883038850103399,0.10807491376474099,0.0007554747362930048,0.002770187284411918,0.0035256620207049227,9006.706648953774,33659.81744144318,42666.52409039695,342633.22455548,10138.831734533072,0.31120373589339434,0.9996527777777777,0.9499999999999998,0,0.003014058611345889
optimised_mean_variance,Mean-Variance Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2010-02-28,2014-08-31,2026-07-31,144,12.0,2.139178648481602,0.10002191140554584,0.10417798614568133,0.1311320971913058,0.6450504299047383,0.7183452075946662,1.096073341777897,-0.22370707915563137,35,0.44711106945328866,0.052628832387840094,0.0723018887188372,0.07182207995642578,3.735786166233367,0.6180555555555556,-0.09074788669329426,0.124625839986086,313917.8648481602,213917.8648481602,0.10346044946484367,0.10277885855192559,0.0006815909129180842,0.0027569471463797512,0.0034385380592978354,5162.021423591854,21263.54956053543,26425.570984127284,323490.2380336332,9572.373185473029,0.284798878737076,0.9611111111111111,0.8500000000000001,0,0.03292473384683882
optimised_regime_aware,Regime-Aware Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,2014-08-31,2026-07-31,144,12.0,2.1180324860486603,0.09940249858375738,0.10608707854659491,0.15008278111201862,0.5764353562714387,0.6249363871720316,1.033779904711827,-0.26135032652365253,39,0.3803419720417351,0.06176908104638849,0.0761077866561925,0.5758013319886489,4.684174373689397,0.6041666666666666,-0.08814264417267681,0.17507014004030763,311803.24860486604,211803.24860486604,0.10285469568016725,0.10215789331704994,0.0006968023631173104,0.00275539473329256,0.0034521970964098703,7151.7091367830835,28574.106847130566,35725.81598391365,321311.14028708177,9507.891682215733,0.2809081438896589,0.9961805555555555,0.9500000000000002,0,0.028100330974318015
