ticker,baseline_weight,drl_target_weight,weight_change,material_change_flag,explanation
PGR.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
SHEL.US,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
T.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
LOW.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
EOG.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
3968.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
2020.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
3988.HK,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
601288.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601169.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
600690.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
600019.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
600050.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
600406.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601766.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
603195.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
2057.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
EN.PA,0.0,0.0,0.0,False,No material DRL overlay change after projection.
ORA.PA,0.04999999999999971,0.047499999999999716,-0.0024999999999999953,False,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
601988.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
002415.SHE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
002352.SHE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
0293.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
MCD.US,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
FGR.PA,0.0,0.0,0.0,False,No material DRL overlay change after projection.
000538.SHE,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
TMUS.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
TTE.PA,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601658.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
PSON.LSE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
JNJ.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
FDX.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601838.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
BUD.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
GILD.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
BNZL.LSE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
STT.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601009.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
COP.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601166.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
DCC.LSE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
ABI.BR,0.0,0.0,0.0,False,No material DRL overlay change after projection.
SCHP.SW,0.0,0.0,0.0,False,No material DRL overlay change after projection.
DHL.XETRA,0.0,0.0,0.0,False,No material DRL overlay change after projection.
RHHBY.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
TFC.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
GSK.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601939.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
SBRY.LSE,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
PRU.LSE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601211.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
0823.HK,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
MDT.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
LMT.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
HEN3.XETRA,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
AENA.MC,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601818.SHG,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
AFL.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
GD.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
USB.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
ROP.SW,0.0,0.0,0.0,False,No material DRL overlay change after projection.
CS.PA,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
MTB.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
5.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
SREN.SW,0.0,0.0,0.0,False,No material DRL overlay change after projection.
BBVA.MC,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601998.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
LI.PA,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
HSY.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
TSCO.LSE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
OR.PA,0.0,0.0,0.0,False,No material DRL overlay change after projection.
ESSITY-B.ST,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
600018.SHG,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
0002.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
NESN.SW,0.0,0.0,0.0,False,No material DRL overlay change after projection.
