security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags
9973.HK,9973.HK,NAME:cheryautomobilecoltd,Chery Automobile Co Ltd,Hong Kong,Hong Kong,Consumer Discretionary,HKD,Auto Manufacturers,0.0,0.0,Avoid,44.67702181832754,44.67702181832754,79.40191900109355,37.589158345221115,39.52083333333333,81.44223886264008,0.1377027930581696,0.0387,0.65,-1.7772006591149763,0.1377027930581696,1.6787245055863493,-1.057326911076213,-1.284826911076213,-1.284826911076213,0.33677166914848167,0.4310080929728609,100.0,67.86556214332526,100,19.115549215406563,8782046.317130663,60,18990735420.016563,0.0387,0.041074033859605744,74.1160374155271,39.28963092422262,50.0,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,liquidity_stress;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
BAS.XETRA,BAS.XETRA,NAME:basfse,BASF SE,Germany,DACH,Materials,EUR,Chemicals,0.0,0.0,Avoid,44.548906075858646,44.548906075858646,78.93218005637411,41.54066144446273,19.9375,71.77379906466153,-0.22883189720712221,0.0444,0.2536742871272436,-0.9705142536541171,-0.22883189720712221,0.36482512263039685,-0.6957931652609244,-0.7845791657554596,-0.7845791657554596,0.6104872777690047,0.3195783662051487,100.0,69.74681874969433,47.32591802326962,68.33095577746077,134556167.30271927,60,50617080233.76357,0.0444,0.03062531258206947,44.34658745833527,45.032299277752735,28.37784256192529,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,alt_data_review;narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
EXC.US,EXC.US,NAME:exeloncorporation,Exelon Corporation,United States,US,Utilities,USD,Utilities - Regulated Electric,0.0,0.0,Avoid,44.523200531804115,44.523200531804115,89.94007421197927,42.813247062439096,54.8125,83.2973760420765,-0.25,0.036699999999999997,0.1910552349716484,-0.8158790510457675,-0.25,0.19862896159459792,-0.6028330916477683,-0.6697024238878453,-0.6697024238878453,0.7669928297671383,0.2756506895186246,95.67177484112077,73.10546270114875,35.955296378482835,86.09129814550643,400323751.08,60,46691106816.0,0.036699999999999997,-0.048724482136722626,14.966685541138084,29.92695951339337,41.18437412174366,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_dividend_cut_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
002340.SHE,002340.SHE,NAME:gemcoltd,GEM Co Ltd,China,Mainland China,Industrials,CNY,Waste Management,0.0,0.0,Avoid,44.5013800443167,44.5013800443167,64.94255280069233,35.930929513657006,83.5375,73.98492652868289,-0.25,0.0141,0.4168113446911853,-1.6082427012492788,-0.25,0.7836576486387248,-1.034989047127755,-1.1808730177696698,-1.1808730177696698,0.7037439573378509,0.4328370914516517,100.0,87.83664671645947,84.77161827849137,69.18687589158345,146219093.29549485,60,5158469320.089867,0.0141,-0.15506046968964174,25.145353827453512,26.492594323025127,40.00440835163465,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
LISN.SW,LISN.SW,NAME:chocoladefabrikenlindtspruengliagn,Chocoladefabriken Lindt & Spruengli AG N,Switzerland,DACH,Consumer Staples,CHF,Confectioners,0.0,0.0,Avoid,44.46682943049787,44.46682943049787,59.09502176287237,29.15347256432029,48.27083333333333,85.54950311424149,-0.25,0.019,0.22074966018197711,-0.8829777296483972,-0.25,0.2603111210700382,-0.6553800272570227,-0.7326424083207147,-0.7326424083207147,0.5306165553974229,0.3351089348817912,100.0,67.23807623852946,40.51943302725648,32.16833095577746,17860246.508610666,60,127629085920.61296,0.019,0.001831719010100725,83.28545444703131,33.55237341740273,38.46172515829845,True,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
CHG.LSE,CHG.LSE,NAME:chemringgroupplc,Chemring Group PLC,United Kingdom,UK,Industrials,GBX,Aerospace & Defense,0.0,0.0,Avoid,44.41767601707427,44.41767601707427,66.86446700534586,25.990407581844426,56.77083333333333,86.28947834408092,-0.25,0.0129,0.32297290251366806,-1.2065294836276936,-0.25,0.5122734099291569,-0.8456625403905187,-0.9587030562703025,-0.9587030562703025,0.521128450996126,0.37459531275320096,100.0,71.28329883285306,60.91629310367807,25.606276747503564,12082205.843917245,60,2296702974.1459646,0.0129,-0.006587180652435597,72.29132481005446,31.314293815096228,40.3985152430118,True,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
3330.HK,3330.HK,NAME:lingbaogoldcoltd,Lingbao Gold Co Ltd,Hong Kong,Hong Kong,Materials,HKD,Gold,0.0,0.0,Avoid,44.32563671270437,44.32563671270437,65.88250789871647,29.171929463354715,72.52083333333334,62.31520509938785,-0.24999999999999997,0.0143,0.65,-2.3607227140031686,-0.24999999999999997,1.3579345361758681,-1.4742156157511168,-1.7017156157511169,-1.7017156157511169,0.5473429260720454,0.5026143803730826,100.0,87.46627837000428,100,56.84736091298146,74305729.98152514,60,4244307974.262598,0.0143,-0.013487402282023195,76.81120123757978,13.178608288877882,23.99438579095846,True,False,True,True,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"eastmoney_hk_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;narrative_exclusion;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
3996.HK,3996.HK,NAME:chinaenergyengineeringcorp,China Energy Engineering Corp,Hong Kong,Hong Kong,Industrials,HKD,Engineering & Construction,0.0,0.0,Avoid,44.307631523359234,44.307631523359234,76.83394956723996,25.590256700069723,82.20416666666668,83.2973760420765,-0.25,0.033,0.3215993438775808,-1.2920591842837408,-0.25,0.5414411020354444,-0.8561420527623388,-0.968701823119492,-0.968701823119492,0.7976744315452171,0.39541358826599793,100.0,88.5763449600499,64.98129673028906,12.482168330955776,5953518.817608461,60,6087711247.754349,0.033,-0.8405062636585092,9.662114002514736,25.4540137807504,62.13071101181527,True,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"eastmoney_hk_financials,yahoo_finance_timeseries",False,False,Equity,Active,liquidity_stress;narrative_review;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
600089.SHG,600089.SHG,NAME:tbeacoltd,Tbea Co Ltd,China,Mainland China,Industrials,CNY,Electrical Equipment & Parts,0.0,0.0,Avoid,44.245921553570994,44.245921553570994,65.98838019013598,38.37547596669503,24.020833333333332,86.28947834408092,-0.25,0.017,0.5009412892593248,-1.8742428544232959,-0.25,0.9919010338430931,-1.1911280947948524,-1.366457546035616,-1.366457546035616,0.6644379374130335,0.4362760842144677,100.0,86.11697557775577,100,88.51640513552069,448855248.96683216,60,15930007293.366442,0.017,-0.11871519903605883,59.67506589625636,23.13316804842742,29.350758722858014,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
FORN.SW,FORN.SW,NAME:forboholdingag,Forbo Holding AG,Switzerland,DACH,Industrials,CHF,Building Products & Equipment,0.0,0.0,Avoid,44.23799661232205,44.23799661232205,65.9930315236632,40.21555846015408,48.77083333333333,86.28947834408092,0.010720983318246606,0.026699999999999998,0.3251500564817482,-0.897233455265191,0.010720983318246606,0.7572049750124484,-0.5828901212981249,-0.6966926410667368,-0.6966926410667368,0.2719575407292591,0.39746947107141656,99.52752015239098,60.50572962443125,58.63514468039166,3.138373751783167,2824872.400582612,60,1633413231.1722012,0.026699999999999998,0.055772382513593115,50,56.149564226494164,57.575327004556804,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,liquidity_stress;alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
ANA.MC,ANA.MC,NAME:acciona,Acciona,Spain,EU ex-DACH,Industrials,EUR,Engineering & Construction,0.0,0.0,Avoid,44.20940407745762,44.20940407745762,67.82291452276307,39.55352695186355,57.10416666666667,90.2262276750101,-0.25,0.0275,0.3513211950367689,-1.3234664031960084,-0.25,0.5932797397686487,-0.9015454556157352,-1.0245078738786042,-1.0245078738786042,0.6257553837654571,0.3697164806900506,100.0,76.3541145900689,67.9316228101972,37.87446504992867,24512855.857190054,60,13031251282.168123,0.0275,0.03357025946730787,32.02431907738661,40.7732091377362,46.808731988002236,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
DUK.US,DUK.US,NAME:dukeenergycorporation,Duke Energy Corporation,United States,US,Utilities,USD,Utilities - Regulated Electric,0.0,0.0,Avoid,44.1877992220904,44.1877992220904,90.29813412638727,44.243100362710535,48.77083333333333,84.07541813822725,-0.25,0.0352,0.15654623636249823,-0.702870809393846,-0.25,0.11308620693018268,-0.5378883813749638,-0.5926795641018381,-0.5926795641018381,0.745413406908601,0.2516113847200594,84.66850915740545,69.16972783970074,28.918427443148325,88.80171184022825,455414521.8,60,96605102080.0,0.0352,-0.01753530572947561,14.333934716171518,31.645461029713463,40.23604383232154,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;ml_dividend_cut_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
GNS.LSE,GNS.LSE,NAME:genusplc,Genus PLC,United Kingdom,UK,Healthcare,GBX,Biotechnology,0.0,0.0,Avoid,44.16219752049872,44.16219752049872,65.05004260648612,33.97492087624083,24.020833333333332,81.08624857805513,-0.25,0.0146,0.3777114319790182,-1.3495339079946862,-0.25,0.6356788305062552,-0.9442028053781979,-1.0764018065708543,-1.0764018065708543,0.33054370549647744,0.43110129296158856,100.0,67.54096409922438,70.35815537954171,15.121255349500714,6727969.805895038,60,2053032989.8554196,0.0146,0.03197619070799468,48.36649550873904,42.35685582141716,51.51383547684868,True,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,liquidity_stress;alt_data_review;narrative_review;regime_review;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
DIE.BR,DIE.BR,NAME:dieterengroupsa,D'Ieteren Group SA,Belgium,EU ex-DACH,Consumer Discretionary,EUR,Auto & Truck Dealerships,0.0,0.0,Avoid,44.141852955337704,44.141852955337704,62.23753160283634,39.252461692830444,54.4375,71.77379906466153,-0.25,0.0109,0.29408403333195826,-1.0736134453547912,-0.25,0.4251817637400065,-0.7872976664984157,-0.8902270781646011,-0.8902270781646011,0.33985937476890377,0.3743434172473364,100.0,61.49359140071056,53.11897519015162,26.24821683309558,12496774.131076202,60,10956930652.419088,0.0109,0.04637273733736764,33.35824370652108,49.133788734053155,42.93244608385629,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
BOSN.SW,BOSN.SW,NAME:bossardholdingag,Bossard Holding AG,Switzerland,DACH,Industrials,CHF,Industrial Distribution,0.0,0.0,Avoid,44.063052362454165,44.063052362454165,63.42009999727234,26.51018097560002,42.77083333333333,88.88679739574253,-0.21961038090884166,0.0167,0.31541406421210816,-1.09068249583469,-0.21961038090884166,0.5012499679958816,-0.7942951261125056,-0.9046900485867435,-0.9046900485867435,0.27798238258838937,0.3754347798604515,100.0,58.28767981558074,56.41986345932108,6.348074179743223,4105976.671032178,60,2207128842.976218,0.0167,0.02724041571824179,63.912462579654694,39.34150107721424,41.12955721987208,True,False,True,True,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,liquidity_stress;narrative_review;narrative_exclusion;regime_review;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
FORTUM.HE,FORTUM.HE,NAME:fortumoyj,Fortum Oyj,Finland,EU ex-DACH,Utilities,EUR,Utilities - Renewable,0.0,0.0,Avoid,44.05747880901181,44.05747880901181,75.55084806479232,30.691148636346032,53.35416666666667,90.2262276750101,-0.25,0.0387,0.2996969518762112,-1.1246511611151209,-0.25,0.45234721940833356,-0.8011400615216873,-0.9060339946783612,-0.9060339946783612,0.533632349253825,0.3457009489334517,100.0,68.62262060598886,55.89058287724776,31.597717546362343,17443578.07498206,60,19819729335.505405,0.0387,0.019859040753403362,61.68820008037529,30.239787562413973,36.35416830682115,True,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
0241.HK,0241.HK,NAME:alibabahealthinformationtechnologyltd,Alibaba Health Information Technology Ltd,Hong Kong,Hong Kong,Healthcare,HKD,Pharmaceutical Retailers,0.0,0.0,Avoid,44.02186564773215,44.02186564773215,68.81000305711058,42.845934379457915,32.770833333333336,81.08624857805513,-0.25,0.0196,0.46066515272375796,-1.6001830332105735,-0.25,0.8384969282091677,-1.0965183171076918,-1.257751120561007,-1.257751120561007,0.2815570840162454,0.4514200591785017,100.0,67.24769596762494,86.42953992734695,52.28245363766049,55786933.75294643,60,7357561533.541441,0.0196,0.024752998094831846,97.57318978479012,34.518708815607575,50.0,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_hk_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
