security_id,ticker,company_name,current_weight,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_blended_weight,weight_change_vs_current,weight_change_vs_baseline,trade_action,trade_size_usd,transaction_cost_estimate,slippage_estimate,liquidity_impact,primary_positive_driver,primary_negative_driver,regime_effect,risk_effect,constraint_adjustment,acceptance_status,commentary
HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.013889675080744165,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,HEN3.XETRA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
0823.HK,0823.HK,Link Real Estate Investment Trust,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.011805587090557639,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,0823.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.013805049492282444,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,ESSITY-B.ST: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
CS.PA,CS.PA,AXA SA,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.006684022605854344,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,CS.PA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
SBRY.LSE,SBRY.LSE,J Sainsbury PLC,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.011605484733771371,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,SBRY.LSE: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601818.SHG,601818.SHG,China Everbright Bank Co Ltd,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.009130506394086585,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,601818.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.009909349182900096,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,000538.SHE: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
MCD.US,MCD.US,McDonald’s Corporation,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.002424058754450845,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,MCD.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.007258633138339813,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,601816.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.005100073074557203,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,ALV.XETRA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,0.0,0.05000000000000002,0.047500000000000014,0.04750000000000001,0.05000000000000002,0.05000000000000002,0.0,Baseline Fallback,1966.0000000000007,0.39320000000000016,0.9830000000000003,0.013246657183868374,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,600018.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
ORA.PA,ORA.PA,Orange S.A.,0.0,0.04999999999999971,0.04749999999999972,0.047499999999999716,0.04999999999999971,0.04999999999999971,0.0,Baseline Fallback,1965.9999999999886,0.3931999999999977,0.9829999999999943,0.009496205661860128,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,6.938893903907228e-18,Rejected - Baseline Fallback,ORA.PA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
0002.HK,0002.HK,CLP Holdings,0.0397318102806059,0.0,0.0,0.0,0.0,-0.0397318102806059,0.0,Baseline Fallback,-1562.2547802334238,0.31245095604668477,0.781127390116712,0.010685368579620599,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,0002.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
AIG.US,AIG.US,American International Group Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,AIG.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
ALL.US,ALL.US,The Allstate Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,ALL.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601398.SHG,601398.SHG,Industrial and Commercial Bank of China Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,601398.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
0939.HK,0939.HK,China Construction Bank Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,0939.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
600919.SHG,600919.SHG,Bank of Jiangsu Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,600919.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
1113.HK,1113.HK,CK Asset Holdings Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,1113.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
2318.HK,2318.HK,Ping An Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were associated with lower allocation confidence,0.0,Rejected - Baseline Fallback,2318.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
2328.HK,2328.HK,PICC Property & Casualty-H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were associated with lower allocation confidence,0.0,Rejected - Baseline Fallback,2328.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
1919.HK,1919.HK,COSCO SHIPPING Holdings Co Ltd H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,1919.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
1288.HK,1288.HK,Agricultural Bank Of China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,1288.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
HNR1.XETRA,HNR1.XETRA,Hannover Rück SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,HNR1.XETRA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601728.SHG,601728.SHG,China Telecom Corp Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,601728.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
PRU.US,PRU.US,"Prudential Financial, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,PRU.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
600690.SHG,600690.SHG,Qingdao Haier Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,600690.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601169.SHG,601169.SHG,Bank of Beijing Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,601169.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601288.SHG,601288.SHG,Agricultural Bank of China Ltd Class A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,601288.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
2020.HK,2020.HK,ANTA Sports Products Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,2020.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
EOG.US,EOG.US,EOG Resources Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,EOG.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
3968.HK,3968.HK,China Merchants Bank Co Ltd Class H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,3968.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
LOW.US,LOW.US,Lowe's Companies Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,LOW.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
T.US,T.US,AT&T Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,T.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
ADP.US,ADP.US,Automatic Data Processing Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,ADP.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
PGR.US,PGR.US,Progressive Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,PGR.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
NVS.US,NVS.US,Novartis AG ADR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,NVS.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
MET.US,MET.US,MetLife Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,MET.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
BMY.US,BMY.US,Bristol-Myers Squibb Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were associated with lower allocation confidence,0.0,Rejected - Baseline Fallback,BMY.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
SHEL.LSE,SHEL.LSE,Shell plc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,SHEL.LSE: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601766.SHG,601766.SHG,CRRC Corp Ltd Class A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,601766.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
600019.SHG,600019.SHG,Baoshan Iron & Steel Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,600019.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
TTE.PA,TTE.PA,TotalEnergies SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,TTE.PA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
601658.SHG,601658.SHG,Postal Savings Bank of China Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,601658.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
PSON.LSE,PSON.LSE,Pearson PLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,PSON.LSE: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
JNJ.US,JNJ.US,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,JNJ.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
FDX.US,FDX.US,FedEx Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were associated with lower allocation confidence,0.0,Rejected - Baseline Fallback,FDX.US: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
603195.SHG,603195.SHG,Gongniu Group Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,603195.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
600406.SHG,600406.SHG,NARI Technology Co Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were associated with lower allocation confidence,0.0,Rejected - Baseline Fallback,600406.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
600050.SHG,600050.SHG,China United Network Communications Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,no dominant negative model attribution exceeded the reporting threshold,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,600050.SHG: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
EN.PA,EN.PA,Bouygues SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime suitability contributed positively to the model allocation,risk metrics were within the model's conservative review range,0.0,Rejected - Baseline Fallback,EN.PA: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
2057.HK,2057.HK,Zto Express Cayman Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline Fallback,0.0,0.0,0.0,0.0,strong 12-month expected return distribution,dividend-cut risk was associated with lower allocation confidence,regime effect was neutral to moderate,risk metrics were associated with lower allocation confidence,0.0,Rejected - Baseline Fallback,2057.HK: DRL allocation rejected by acceptance rules; baseline optimiser weight selected.
