security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,eligible_security_count,candidate_security_count,baseline_weight,eligible_for_drl,accepted_target_weight,acceptance_selected_weights_source,raw_drl_weight,projected_drl_weight,selected_weight,selected_weights_source
COP.US,COP.US,NAME:conocophillips,ConocoPhillips,United States,US,Energy,USD,Oil & Gas E&P,0.0,0.0,Hold,62.07647203658895,62.07647203658895,82.50945078459344,61.82324861740099,36.35416666666667,81.08624857805513,0.35,0.0292,0.2992442310619871,-0.44952197017172424,0.35,1.0245846188906045,-0.192329348434101,-0.2970648293057965,-0.2970648293057965,0.23995754072925912,0.33700489176002757,42.43783275797093,51.80597047311712,52.25963344198152,95.07845934379458,826704468.24,60,140268158976.0,0.0292,0.051636808045932105,75.16380008152817,64.75495309506188,43.43019066964787,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;,0.00023955107722284692,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.00023955107722284692,0.0,baseline_optimiser
601166.SHG,601166.SHG,NAME:industrialbankcoltd,Industrial Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,62.04624841049187,62.04624841049187,94.77356476982933,83.7387294553314,39.52083333333333,90.2262276750101,0.35,0.115,0.17851793509702987,-0.11468754290190114,0.35,0.7449822974795522,0.027117736819805394,-0.03536354046415506,-0.03536354046415506,0.30294327539402377,0.28644922258680827,5.051934352022152,49.3641635889253,30.476785785238718,80.17118402282453,284100793.6029325,60,57367688702.84971,0.115,1.649463378420182,42.50713266761769,86.02988499307727,70.89198837655313,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.002033186101605134,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0039251505061917635,0.002033186101605134,0.0,baseline_optimiser
DCC.LSE,DCC.LSE,NAME:dccplc,DCC plc,United Kingdom,UK,Energy,GBX,Oil & Gas Refining & Marketing,0.0,0.0,Hold,62.020524266703504,62.020524266703504,83.59187697733594,62.20504722644819,61.10416666666667,81.00001336983581,0.35,0.0339,0.2509598781554286,-0.31836469499042586,0.35,0.9131376444662841,-0.1049508493857037,-0.1927868067401037,-0.1927868067401037,0.2809886518403702,0.32186224391855095,27.540972391443386,52.26810939739118,43.65889232195078,51.85449358059915,54851106.31839604,60,7250031514.764225,0.0339,0.08502515023777991,59.39684753546015,65.513830091478,60.38613452512811,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.00023955107821152784,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.00023955107821152784,0.0,baseline_optimiser
ABI.BR,ABI.BR,NAME:anheuserbuschinbevsanv,Anheuser Busch Inbev SA NV,Belgium,EU ex-DACH,Consumer Staples,EUR,Beverages - Brewers,0.0,0.0,Watchlist,61.9762261292631,61.9762261292631,59.920981794782506,67.28963059838988,52.60416666666667,81.44223886264008,0.35,0.015600000000000001,0.22887107403381457,-0.2508778256647206,0.35,0.860147597328422,-0.06408881125446242,-0.14419368716629752,-0.14419368716629752,0.2872103469246246,0.29712229211538216,20.59909816661393,49.74851392463926,39.38777682777803,71.0413694721826,161472646.6091751,60,164562339895.87726,0.015600000000000001,0.06822338578257703,44.15137468009503,77.19697228604764,67.59743651710332,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,0.0014599820392022756,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0012276081791432877,0.0014599820392022756,0.0,baseline_optimiser
SCHP.SW,SCHP.SW,NAME:schindlerps,Schindler Ps,Switzerland,DACH,Industrials,CHF,Specialty Industrial Machinery,0.0,0.0,Watchlist,61.96257611059313,61.96257611059313,69.72680470483296,52.39401565361956,52.60416666666667,81.00001336983581,0.22299973064871959,0.0229,0.19196045249785107,-0.2802932370520418,0.22299973064871959,0.6489382719984842,-0.12459708638789468,-0.19178324476214254,-0.19178324476214254,0.2755130962848147,0.3116923394870521,27.397606394591794,50.799821279226805,32.94286750092434,45.00713266761769,37976402.736808605,60,34473767596.47984,0.0229,0.049102777462484856,97.93911959636972,65.24318851487007,61.83291205700962,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.00023955107821152773,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.00023955107821152773,0.0,baseline_optimiser
DHL.XETRA,DHL.XETRA,NAME:deutschepostag,Deutsche Post AG,Germany,DACH,Industrials,EUR,Integrated Freight & Logistics,0.0,0.0,Watchlist,61.93572815185319,61.93572815185319,71.38344340820716,68.75618307521408,61.10416666666667,81.00001336983581,0.35,0.0342,0.26763467720700884,-0.35446740753045614,0.35,0.9483615801250614,-0.13422073193926426,-0.22789286896171734,-0.22789286896171734,0.23195754072925912,0.32163744638377145,32.556124137388196,49.602034468164504,46.18754562095402,65.62054208273894,116921871.84014766,60,69573369726.93408,0.0342,0.10354956974099283,50.93049596944746,73.8017644603758,59.957547730691154,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.00023955107722284513,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.00023955107722284513,0.0,baseline_optimiser
RHHBY.US,RHHBY.US,NAME:rocheholdingltdadr,Roche Holding Ltd ADR,United States,US,Healthcare,USD,Drug Manufacturers - General,0.0,0.0,Hold,61.85859621025324,61.85859621025324,81.00506291873648,54.11213754630475,71.6625,73.98492652868289,0.2713406523808306,0.0275,0.28635792382454106,-0.4902837569129481,0.2713406523808306,0.9147023846899696,-0.24749646755915733,-0.3477217408977467,-0.3477217408977467,0.22029087406259246,0.3428215457104937,49.67453441396382,51.41814849304271,49.8091937828845,66.26248216833096,120198520.02000001,60,358034702336.0,0.0275,0.044691277227574974,72.57288553712011,71.85117357523983,52.303274587159706,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;,0.00023955107722284654,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.00023955107722284654,0.0,baseline_optimiser
TFC.US,TFC.US,NAME:truistfinancialcorp,Truist Financial Corp,United States,US,Financials,USD,Banks - Regional,0.0,0.0,Hold,61.788629728067164,61.788629728067164,87.87410841654778,75.95438880257379,77.1875,81.00001336983581,0.35,0.0394,0.24198765161442604,-0.287282941273586,0.35,0.8901879621907027,-0.0880210729709528,-0.1727167510360019,-0.1727167510360019,0.2602766087273571,0.3142780728467342,24.6738215765717,50.277748875327006,41.74338427100045,89.58630527817404,473968426.8,60,64245325824.0,0.0394,0.0893294559003714,42.50713266761769,75.62757006207384,65.25994110700725,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0013531752883464174,0.0,0.0,baseline_optimiser
GSK.US,GSK.US,NAME:glaxosmithklineplcadr,GlaxoSmithKline PLC ADR,United States,US,Healthcare,USD,Drug Manufacturers - General,0.0,0.0,Hold,61.43049965752014,61.43049965752014,84.23116848221721,58.753795790984015,51.14583333333333,73.98492652868289,0.35,0.0353,0.26936351868655767,-0.36520879840043496,0.35,0.9542665840400544,-0.13799837658132097,-0.23227560812161613,-0.23227560812161613,0.24440198517370354,0.3310321140405723,33.182229731659454,51.35612005249622,46.77768916691462,75.24964336661911,210146290.02,60,104486363136.0,0.0353,0.06059842591330379,68.59564779094283,71.31789830930884,45.09439922347583,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0002395510772228455,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.0002395510772228455,0.0,baseline_optimiser
601939.SHG,601939.SHG,NAME:chinaconstructionbankco,China Construction Bank Co,China,Mainland China,Financials,CNY,Banks - Diversified,0.0,0.0,Hold,61.38561175474095,61.38561175474095,89.68297989108468,81.22879753244179,27.270833333333332,73.98492652868289,0.35,0.0384,0.19369767105683292,-0.1548084328325925,0.35,0.7793983523375221,-0.0002739266050704736,-0.06806811147496199,-0.06806811147496199,0.30294327539402377,0.28436708123712895,9.72401592499457,49.12391651011615,33.11924966230368,72.82453637660485,182900591.67110085,60,389369121267.589,0.0384,0.7886974134592342,42.50713266761769,90.07761298415168,71.37308771241774,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0011487617352892614,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.003035516597270807,0.0011487617352892614,0.0,baseline_optimiser
SBRY.LSE,SBRY.LSE,NAME:jsainsburyplc,J Sainsbury PLC,United Kingdom,UK,Consumer Staples,GBX,Grocery Stores,0.0,0.0,Hold,61.16300249012455,61.16300249012455,75.23892514755075,68.54400224876477,61.10416666666667,83.2973760420765,0.35,0.0385,0.21272673759010768,-0.21913915445651933,0.35,0.8270962339748145,-0.03612103690028595,-0.11057539505682364,-0.11057539505682364,0.3389290309000277,0.30952566560129113,15.796485008117664,53.96452461784276,37.09085781119104,52.49643366619116,56418816.4390127,60,10225285640.493116,0.0385,0.12017257371120589,43.902812214380724,60.602073605608986,67.46217883180803,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.044054284033714836,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.042175958844906575,0.044054284033714836,0.05000000000000002,baseline_optimiser
PRU.LSE,PRU.LSE,NAME:prudentialplc,Prudential plc,United Kingdom,UK,Financials,GBX,Insurance - Life,0.0,0.0,Hold,61.08009402895454,61.08009402895454,75.42568582184379,66.63136862854532,39.52083333333333,81.00001336983581,0.3139807412416496,0.0192,0.2551419611756844,-0.3748262503199912,0.3139807412416496,0.8897060514734558,-0.1495358742328095,-0.23883556064429903,-0.23883556064429903,0.30294327539402377,0.3347865506255151,34.11936580632843,54.941547593391476,44.82986173293369,66.47646219686163,123750054.51713395,60,34004011651.622864,0.0192,0.0689918596674765,42.50713266761769,54.123025433850394,68.98752561080201,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,1.3553843156296286e-18,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,1.3553843156296286e-18,0.0,baseline_optimiser
601211.SHG,601211.SHG,NAME:guotaijunansecuritiescoltd,Guotai Junan Securities Co Ltd,China,Mainland China,Financials,CNY,Capital Markets,0.0,0.0,Hold,61.049495920853474,61.049495920853474,81.44439215927298,78.73874752573826,51.14583333333333,71.77379906466153,0.35,0.027999999999999997,0.2539224625875852,-0.3291520561028871,0.35,0.9203785440789318,-0.11073947595581646,-0.19961233786147128,-0.19961233786147128,0.2593877198384682,0.3412653038455051,28.51604826592447,53.34379689655273,44.29802541048135,84.73609129814551,371207343.9827953,60,46667345186.23625,0.027999999999999997,0.25177439803078155,42.50713266761769,89.40296858535694,58.97029555957825,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,1.438043761476865e-18,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0007887358825761215,1.438043761476865e-18,0.0,baseline_optimiser
0823.HK,0823.HK,NAME:linkrealestateinvestmenttrust,Link Real Estate Investment Trust,Hong Kong,Hong Kong,Real Estate,HKD,REIT - Retail,0.0,0.0,Hold,61.00868305496552,61.00868305496552,93.34060347646255,64.20382450328518,56.60416666666667,84.07541813822725,0.35,0.0654,0.1973293814496061,-0.16141488185568476,0.35,0.7859589778800746,-0.00669428979581399,-0.07575957330317612,-0.07575957330317612,0.23995754072925912,0.30760838311034727,10.822796186168018,48.41406562892325,33.586045276277254,51.711840228245364,54522449.85666051,60,12840771339.236797,0.0654,0.08356751001618147,72.8735892098102,72.49017139983539,66.64716110374123,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;,0.04534420000105097,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.04347346066401206,0.04534420000105097,0.05000000000000002,baseline_optimiser
MDT.US,MDT.US,NAME:medtronicplc,Medtronic PLC,United States,US,Healthcare,USD,Medical Devices,0.0,0.0,Hold,60.843302183911696,60.843302183911696,83.94193881031993,63.5691629191719,48.77083333333333,81.44223886264008,0.1946147810817785,0.0335,0.23570745811688396,-0.44062245455983345,0.1946147810817785,0.7257785953066012,-0.23351254206480937,-0.3160101524057187,-0.3160101524057187,0.34127309628481467,0.31573242849585986,45.14430748653125,54.80690847255077,41.35093877515049,95.22111269614835,833246832.96,60,109981483008.0,0.0335,0.049335577695431836,53.98212024295142,70.97879998504756,50.43604322942534,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.00023955107722284472,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0,0.00023955107722284472,0.0,baseline_optimiser
