security_id,ticker,company_name,p5_return_3m,p50_return_3m,p95_return_3m,forecast_spread_3m,p5_return_6m,p50_return_6m,p95_return_6m,forecast_spread_6m,p5_return_9m,p50_return_9m,p95_return_9m,forecast_spread_9m,p5_return_12m,p50_return_12m,p95_return_12m,forecast_spread_12m,downside_risk_score,upside_potential_score,forecast_uncertainty_score,distribution_family,distribution_degrees_of_freedom,distribution_skewness
TEG.XETRA,TEG.XETRA,TAG Immobilien AG,-0.46175695121248583,0.016960898286109596,0.3952187321061546,0.8569756833186404,-0.6430874787387767,0.03392179657221919,0.5688591552343952,1.211946633973172,-0.7782809429633497,0.05088269485832879,0.7060444813955918,1.4843254243589414,-0.8895921058527525,0.06784359314443839,0.8243592607845285,1.713951366637281,100,100,60.7368459228858,student_t,8.318432547114888,0.5171162164273958
TKA.XETRA,TKA.XETRA,thyssenkrupp AG,-1.0028389221170255,-0.0625,0.6371810522397094,1.640019974356735,-1.4548400568851954,-0.125,0.8644984334128751,2.3193384902980707,-1.816214789441242,-0.18750000000000003,1.0243831315724305,2.8405979210136723,-2.130677844234051,-0.25,1.149362104479419,3.28003994871347,100,100,100,student_t,6.6520638615906105,0.37462968017691156
TLX.XETRA,TLX.XETRA,Talanx AG,-0.20905063985748842,0.0875,0.33901631216595773,0.5480669520234461,-0.24438593681687948,0.175,0.5306977798231627,0.7750837166400422,-0.25114077525023004,0.26249999999999996,0.698139031603793,0.949279806854023,-0.24310127971497686,0.35,0.8530326243319155,1.0961339040468925,69.45750848999339,100,38.84341022555784,student_t,10.142813975780719,0.6744521454785175
TUI1.XETRA,TUI1.XETRA,TUI AG,-0.46341814261435965,0.0875,0.5381295637375905,1.0015477063519502,-0.6041159090426225,0.175,0.8122864406439716,1.416402349686594,-0.6917182138195475,0.2625,1.0430132997861046,1.734731513605652,-0.7518362852287194,0.35,1.251259127475181,2.0030954127039005,100,100,70.98316779485558,student_t,9.197211300518058,0.5953597247977805
UTDI.XETRA,UTDI.XETRA,United Internet AG NA,-0.4260900501657061,0.07180140307371559,0.46382819830941924,0.8899182484751254,-0.5605220396134087,0.14360280614743118,0.6980124167834236,1.2585344563968324,-0.6469690844438354,0.21540420922114678,0.8944145364977862,1.5413836209416216,-0.708577294183981,0.28720561229486236,1.0712592027662697,1.7798364969502507,100,100,63.07160003920545,student_t,8.22535624912358,0.5090101015807651
VNA.XETRA,VNA.XETRA,Vonovia SE,-0.33522357388764534,0.0875,0.426533291397749,0.7617568652853943,-0.4228214113267333,0.175,0.6544654787906863,1.0772868901174195,-0.4696787075304982,0.2625,0.8497228861582058,1.319401593688704,-0.49544714777529075,0.35,1.028066582795498,1.5235137305707886,100,100,53.988357263967536,student_t,8.71392608786487,0.5511822766599259
VODI.XETRA,VODI.XETRA,Vodafone Group PLC,-0.3656898345589597,0.05125427325841982,0.3834031901105398,0.7490930246694996,-0.48713946551004844,0.10250854651683965,0.5722380494566413,1.0593775149666897,-0.5684055588809176,0.15376281977525946,0.7290616194421018,1.2974671783230194,-0.6288711226010797,0.2050170930336793,0.8693149267379193,1.4981860493389991,100,100,53.09082685411856,student_t,8.541088336794807,0.5358314699820887
VOW3.XETRA,VOW3.XETRA,Volkswagen AG VZO O.N.,-0.4486700548586865,-0.03235132987452877,0.2971858656064373,0.7458559204651238,-0.6534662468915281,-0.06470265974905753,0.40133331140651846,1.0547995582980465,-0.818139173438442,-0.09705398962358631,0.4737211759332039,1.2918603493716458,-0.9620427694664305,-0.12940531949811507,0.529669071463817,1.4917118409302477,100,100,52.86140202547452,student_t,8.378927343901681,0.5211933546183689
WCH.XETRA,WCH.XETRA,Wacker Chemie AG,-0.7760804321717519,-0.0625,0.4778037162447544,1.2538841484165064,-1.1341551250213462,-0.125,0.639104843313916,1.7732599683352621,-1.4234575638084315,-0.18750000000000003,0.7483334880541923,2.171791051862624,-1.6771608643435039,-0.25,0.8306074324895087,2.507768296833013,100,100,88.86712868281649,student_t,7.156032580715221,0.41690466872523274
013A.F,013A.F,JD.com Inc Adr,-0.5918216872565292,-0.0233249046753463,0.4258720311725647,1.017693718429094,-0.8506256694424702,-0.0466498093506926,0.5886105895018604,1.4392362589443306,-1.054640025396085,-0.0699747140260389,0.7080572014668005,1.7626972268628855,-1.230293183863751,-0.0932996187013852,0.8050942529944369,2.035387436858188,100,100,72.12749180181098,student_t,8.306385706505775,0.5171186734992482
3IN.LSE,3IN.LSE,3I Infrastructure PLC,-0.28716228176865133,-0.0625,0.1175346637933298,0.4046969455619811,-0.44272044583091247,-0.125,0.1296074632338074,0.5723279090647199,-0.5766264865676591,-0.1875,0.12432918481362815,0.7009556713812872,-0.6993245635373027,-0.25,0.1100693275866596,0.8093938911239622,100,24.459850574813245,28.682279446803403,student_t,8.726853672226062,0.5493027738000533
ABDN.LSE,ABDN.LSE,Abrdn PLC,-0.32549882292993804,0.0875,0.42795713713135475,0.7534559600612928,-0.40906853663164283,0.175,0.6564791007378785,1.0655476373695214,-0.452834944780795,0.26249999999999996,0.8521890593109509,1.305024004091746,-0.47599764585987614,0.35,1.0309142742627095,1.5069119201225858,100,100,53.40004325292777,student_t,9.41460523919263,0.61259741742951
ABF.LSE,ABF.LSE,Associated British Foods PLC,-0.2901884419855072,0.0875,0.3996679172511721,0.6898563592366793,-0.3591321170074681,0.175,0.6164721023143698,0.9756042193218379,-0.3916755709504288,0.26249999999999996,0.8031906931719871,1.194866264122416,-0.40537688397101435,0.35,0.9743358345023443,1.3797127184733586,100,100,48.892518440691866,student_t,9.476334148857376,0.6183841445376693
ADM.LSE,ADM.LSE,Admiral Group PLC,-0.3402149478232452,0.0020813760859341827,0.28297174032346334,0.6231866881467085,-0.4799173514509471,0.0041627521718683655,0.40140171481650067,0.8813190662674477,-0.5866304959969496,0.006244128257802548,0.492760510473731,1.0793910064706806,-0.676267143474622,0.008325504343736731,0.570106232818795,1.246373376293417,100,100,44.16740707575782,student_t,9.30679037266314,0.6025239252828613
AIBG.LSE,AIBG.LSE,AIB Group PLC,-0.3668881421744391,0.0875,0.4648967665642927,0.8317849087387318,-0.46760187324460595,0.175,0.7087196256709756,1.1763214989155815,-0.524523348602959,0.26249999999999996,0.916170374301566,1.4406937229045251,-0.5587762843488782,0.35,1.1047935331285852,1.6635698174774634,100,100,58.95148815355784,student_t,9.59993835277907,0.6290791768950467
ANTO.LSE,ANTO.LSE,Antofagasta PLC,-0.8457155755843149,-0.06249999999999999,0.5427565838341156,1.3884721594184306,-1.2326340892531882,-0.12499999999999999,0.7309620695738146,1.9635961588270028,-1.5440691701913356,-0.18749999999999997,0.8608351548162598,2.404904325007595,-1.8164311511686297,-0.24999999999999997,0.9605131676682312,2.776944318836861,100,100,98.40584891305213,student_t,7.6912081464604,0.4654138231218976
ASHM.LSE,ASHM.LSE,Ashmore Group Plc,-0.686587055207806,-0.06249999999999999,0.4159235839202263,1.1025106391280324,-1.0075923775763658,-0.12499999999999999,0.5515931209391267,1.5591854985154925,-1.268450487965963,-0.18749999999999997,0.6411539548890246,1.9096044428549876,-1.498174110415612,-0.24999999999999997,0.7068471678404527,2.2050212782560648,100,100,78.13876183481331,student_t,7.491935323375017,0.44642638036738735
AUTO.LSE,AUTO.LSE,Auto Trader Group plc,-0.2987474161960254,0.0875,0.4048791479179089,0.7036265641139343,-0.37123633441598464,0.175,0.6238418953999234,0.995078229815908,-0.40650014914371807,0.2625,0.8122168094567361,1.2187169586004543,-0.4224948323920509,0.35,0.9847582958358178,1.4072531282278686,100,100,49.868460731980235,student_t,9.323252329920283,0.6054717707373563
AV.LSE,AV.LSE,Aviva PLC,-0.4034532953259006,-0.0625,0.1972441464944118,0.6006974418203124,-0.6071807743856878,-0.125,0.24233369471942118,0.8495144691051091,-0.778048430512496,-0.1875,0.26239005869693466,1.0404384892094307,-0.9319065906518011,-0.25,0.2694882929888236,1.2013948836406247,100,59.88628733084968,42.57351600552512,student_t,7.368533574602311,0.4315444645501925
AZN.LSE,AZN.LSE,AstraZeneca PLC,-0.284649809765438,0.056398135550158476,0.3470472304207922,0.6316970401862303,-0.36951835858447735,0.11279627110031695,0.5238361629578315,0.8933545215423089,-0.42151796245310974,0.16919440665047542,0.6726134061403197,1.0941313685934295,-0.4565033484305591,0.2255925422006339,0.8068907319419014,1.2633940803724606,100,100,44.77056531074097,student_t,10.262096029267415,0.6847254123496171
BA.LSE,BA.LSE,BAE Systems plc,-0.40626579898971915,0.00975439182785341,0.359348621234037,0.7656144202237561,-0.5688326124195473,0.01950878365570682,0.5139096842093027,1.08274229662885,-0.6913049319869746,0.029263175483560232,0.6347781428479597,1.3260830748349344,-0.7930228143237316,0.03901756731141364,0.7382060261237807,1.5312288404475123,100,100,54.26175559310453,student_t,9.900745696756122,0.6545295513070095
