security_id,ticker,company_name,country,region,sector,currency,current_weight,target_weight,weight_change,trade_action,trade_size_usd,expected_total_return_12m,expected_dividend_return_12m,p5_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,portfolio_fit_score,final_recommendation_score,risk_flags,trade_rationale,expected_portfolio_impact
SHEL.LSE,SHEL.LSE,Shell plc,United Kingdom,UK,Energy,GBX,0.0,0.0,0.0,Hold,0.0,0.35,0.0358,-0.2444663184945658,-0.059727450403045335,-0.1389705908308592,-0.1389705908308592,0.2719575407292591,0.3064801884241963,79.8297281025183,83.90250465208631,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
NVS.US,NVS.US,Novartis AG ADR,United States,US,Healthcare,USD,0.0,0.0,0.0,Hold,0.0,0.3349536379928369,0.030699999999999998,-0.2363537169311894,-0.05842252790815211,-0.13450690150310407,-0.13450690150310407,0.31657973806259243,0.2861061761509181,61.69108169834516,85.525034388066,64,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
MET.US,MET.US,MetLife Inc,United States,US,Financials,USD,0.0,0.0,0.0,Hold,0.0,0.35,0.0246,-0.27633091177919356,-0.07994590188354866,-0.16307313352088648,-0.16307313352088648,0.28694327539402376,0.3033771241936037,80.38142891089983,83.19917974322397,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
AIG.US,AIG.US,American International Group Inc,United States,US,Financials,USD,0.0,0.0,0.0,Hold,0.0,0.35,0.025,-0.2982434627702014,-0.09290529230128519,-0.17847253853511014,-0.17847253853511014,0.28694327539402376,0.31191514912372675,72.89075749953669,83.22771041369472,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
ALL.US,ALL.US,The Allstate Corporation,United States,US,Financials,USD,0.0,0.0,0.0,Hold,0.0,0.35,0.0165,-0.29623831132041134,-0.0994116364674123,-0.186519178805307,-0.186519178805307,0.24694327539402372,0.29243166071072463,79.82496554687359,79.4302781740371,64,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
1288.HK,1288.HK,Agricultural Bank Of China,Hong Kong,Hong Kong,Financials,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.047400000000000005,-0.2741056888201958,-0.08005683375240807,-0.16323632683667255,-0.16323632683667255,0.2513877198384682,0.3150024972956991,79.33868013478985,90.44509705706169,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
1919.HK,1919.HK,COSCO SHIPPING Holdings Co Ltd H,Hong Kong,Hong Kong,Industrials,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.0666,-0.38917120182262865,-0.13990263095609007,-0.23403539161395415,-0.23403539161395415,0.335966429618148,0.3471250510945303,57.78015380411468,88.3810251735167,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
002415.SHE,002415.SHE,Hangzhou Hikvision Digital Technology Co Ltd,China,Mainland China,Technology,CNY,0.0,0.0,0.0,Hold,0.0,0.35,0.030699999999999998,-0.40265343997938496,-0.1590690524275069,-0.257320010171166,-0.257320010171166,0.2879575407292591,0.3224614961825929,66.04501266102373,79.70107591340478,64,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;cvar_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
601988.SHG,601988.SHG,Bank of China Limited,China,Mainland China,Financials,CNY,0.0,0.0,0.0,Hold,0.0,0.35,0.0391,-0.15251461037199354,-0.002847004897713945,-0.07125895237093069,-0.07125895237093069,0.24694327539402372,0.28876539054450817,83.30327081879328,89.46810827910181,64,narrative_review;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
EN.PA,EN.PA,Bouygues SA,France,EU ex-DACH,Industrials,EUR,0.0,0.0,0.0,Hold,0.0,0.35,0.043,-0.24324520764169832,-0.060002093590209804,-0.13934323316444103,-0.13934323316444103,0.2719575407292591,0.30004554754310014,67.84792006563778,75.8594713483558,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
2057.HK,2057.HK,Zto Express Cayman Inc,Hong Kong,Hong Kong,Industrials,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.028399999999999998,-0.4468795886956738,-0.1842441454707313,-0.2871758294779364,-0.2871758294779364,0.2719575407292591,0.3479642774691024,50.45625654795426,79.6048126200217,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;cvar_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
FGR.PA,FGR.PA,Eiffage SA,France,EU ex-DACH,Industrials,EUR,0.0,0.0,0.0,Hold,0.0,0.35,0.0385,-0.3093028770968569,-0.09923675179361346,-0.18596361710840703,-0.18596361710840703,0.26605084744244667,0.3292410238205469,70.0827991297499,71.73625451526023,63.43801150019738,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
TMUS.US,TMUS.US,T-Mobile US Inc,United States,US,Communication Services,USD,0.0,0.0,0.0,Hold,0.0,0.16982896683908694,0.0235,-0.6178565964445317,-0.3521017175978928,-0.45243507858327375,-0.45243507858327375,0.3282970604438885,0.3459163903937874,79.26238640688098,78.41476462196862,63.29688993730813,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;cvar_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
0293.HK,0293.HK,Cathay Pacific Airways Limited,Hong Kong,Hong Kong,Industrials,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.0594,-0.43756670576234,-0.18461362759416833,-0.2878363007540137,-0.2878363007540137,0.22029087406259246,0.3481553135095997,73.5421415512133,86.08769421773924,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;cvar_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
002352.SHE,002352.SHE,S.F. Holding Co. Ltd,China,Mainland China,Industrials,CNY,0.0,0.0,0.0,Hold,0.0,0.35,0.0264,-0.18541668628538266,-0.018499384898879145,-0.08966837279627761,-0.08966837279627761,0.23995754072925912,0.3364162636931755,68.29755925402026,78.33805922009319,64,narrative_review;ml_drawdown_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
PSON.LSE,PSON.LSE,Pearson PLC,United Kingdom,UK,Communication Services,GBX,0.0,0.0,0.0,Hold,0.0,0.35,0.0207,-0.321501349179242,-0.10829125371955306,-0.19676851082155838,-0.19676851082155838,0.2269575407292591,0.34632217166277823,55.57222462731273,75.39519366777817,62.91073147988753,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
JNJ.US,JNJ.US,Johnson & Johnson,United States,US,Healthcare,USD,0.0,0.0,0.0,Hold,0.0,0.22206178255097475,0.0208,-0.250133542521309,-0.11058756309887396,-0.17512130458998906,-0.17512130458998906,0.2719575407292591,0.2706169141736441,58.76582547163933,82.5161185535439,62.818035843859654,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
FDX.US,FDX.US,FedEx Corporation,United States,US,Industrials,USD,0.0,0.0,0.0,Hold,0.0,0.35,0.015700000000000002,-0.4084195358731758,-0.16843907490769128,-0.26869511523857903,-0.26869511523857903,0.24923017902669325,0.31797972161672144,71.58809891835574,74.17255436467185,62.665446120535165,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;cvar_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
