security_id,ticker,company_name,dividend_cut_probability,dividend_sustainability_score,dividend_growth_probability,dividend_risk_model_confidence
IPC.LSE,IPC.LSE,International Paper Company,0.95,5.000000000000004,0,0.78
ITRK.LSE,ITRK.LSE,Intertek Group PLC,0.31642420739592575,68.35757926040742,0.4108493576134087,0.68
ITV.LSE,ITV.LSE,ITV PLC,0.4143577612765485,58.564223872345146,0.24700335888596955,0.78
JD.LSE,JD.LSE,JD Sports Fashion PLC,0.25240198517370355,74.75980148262964,0.5311490046521521,0.68
JDW.LSE,JDW.LSE,J D Wetherspoon PLC,0.4611485440199178,53.88514559800822,0.1937148454842563,0.78
JET2.LSE,JET2.LSE,Jet2 PLC,0.260296038097873,73.97039619021271,0.5427283234137109,0.68
JFJ.LSE,JFJ.LSE,JPMorgan Japanese Investment Trust,0.40196175610402773,59.803824389597224,0.1521540669378661,0.78
JMAT.LSE,JMAT.LSE,Johnson Matthey PLC,0.2893645856568263,71.06354143431737,0.29122679801680257,0.68
JUP.LSE,JUP.LSE,Jupiter Fund Management Plc,0.24694327539402372,75.30567246059763,0.45259776537442187,0.68
KGF.LSE,KGF.LSE,Kingfisher PLC,0.39108642961814793,60.8913570381852,0.3616606969377313,0.78
KIE.LSE,KIE.LSE,Kier Group PLC,0.5099575407292591,49.00424592707409,0.14004245927074088,0.78
KLR.LSE,KLR.LSE,Keller Group PLC,0.2799575407292591,72.00424592707408,0.4181987830927309,0.68
KNOS.LSE,KNOS.LSE,Kainos Group PLC,0.3754064047292591,62.459359527074085,0.3536458721860258,0.78
KYGA.LSE,KYGA.LSE,Kerry Group,0.2269575407292591,77.30424592707409,0.4411217680729169,0.68
LAND.LSE,LAND.LSE,Land Securities Group PLC,0.6332307983672515,36.67692016327485,0,0.78
LGEN.LSE,LGEN.LSE,Legal & General Group PLC,0.5313877198384682,46.86122801615318,0.20888069952106125,0.78
LLOY.LSE,LLOY.LSE,Lloyds Banking Group PLC,0.6002102152006404,39.978978479935954,0,0.78
LMP.LSE,LMP.LSE,LondonMetric Property Plc,0.6392633263482418,36.07366736517582,0.1525624844519281,0.78
LRE.LSE,LRE.LSE,Lancashire Holdings Ltd,0.2824988309495793,71.75011690504208,0.5131968498051657,0.68
LSEG.LSE,LSEG.LSE,London Stock Exchange Group PLC,0.24194327539402372,75.80567246059763,0.48061453875115034,0.68
MGNS.LSE,MGNS.LSE,Morgan Sindall Group PLC,0.23195754072925912,76.80424592707409,0.45247537439072705,0.68
MKS.LSE,MKS.LSE,Marks and Spencer Group PLC,0.23640198517370353,76.35980148262963,0.46814534354977,0.68
MNDI.LSE,MNDI.LSE,Mondi PLC,0.5750275654195377,42.49724345804623,0.06888408925992259,0.78
MONY.LSE,MONY.LSE,MONY Group plc,0.3712642073959258,62.87357926040742,0.44237635190195745,0.78
MPE.LSE,MPE.LSE,M.P.Evans Group,0.2675130962848147,73.24869037151853,0.5317047670683389,0.68
MRO.LSE,MRO.LSE,Melrose Industries PLC,0.26196531800995926,73.80346819900407,0.2713625710620832,0.68
MTO.LSE,MTO.LSE,Mitie Group PLC,0.2843219540625925,71.56780459374075,0.4234494557948457,0.68
NG.LSE,NG.LSE,National Grid PLC,0.7990844867760759,20.09155132239241,0,0.78
NWG.LSE,NWG.LSE,NatWest Group PLC,0.29494327539402376,70.50567246059762,0.4602085216386433,0.68
NXT.LSE,NXT.LSE,Next PLC,0.24529087406259242,75.47091259374076,0.5024761796259811,0.68
OSB.LSE,OSB.LSE,OneSavings Bank PLC,0.2824988309495793,71.75011690504208,0.4665284295997527,0.68
PAF.LSE,PAF.LSE,Pan African Resources PLC,0.5239207964830677,47.60792035169323,0,0.78
PAG.LSE,PAG.LSE,Paragon Banking Group PLC,0.6669025096588893,33.30974903411107,0,0.78
PETS.LSE,PETS.LSE,Pets at Home Group Plc,0.4516286207292592,54.837137927074075,0.35029993264406545,0.78
PFD.LSE,PFD.LSE,Premier Foods PLC,0.29595754072925906,70.4042459270741,0.4617824960716604,0.68
PHP.LSE,PHP.LSE,Primary Health Properties,0.707412166881182,29.258783311881796,0.11703259166348537,0.78
PLUS.LSE,PLUS.LSE,Plus500 Ltd,0.2904988309495793,70.95011690504207,0.5031683026433836,0.68
PNN.LSE,PNN.LSE,Pennon Group Plc,0.95,5.000000000000004,0,0.78
POLR.LSE,POLR.LSE,Polar Capital Holdings plc,0.32596546650513486,67.40345334948653,0.4763280465446591,0.68
PRU.LSE,PRU.LSE,Prudential plc,0.2593877198384682,74.06122801615318,0.39557550413514164,0.68
PSN.LSE,PSN.LSE,Persimmon PLC,0.6115650516702252,38.84349483297748,0,0.78
PSON.LSE,PSON.LSE,Pearson PLC,0.2799575407292591,72.00424592707408,0.4854166548577301,0.68
QQ.LSE,QQ.LSE,Qinetiq Group PLC,0.2755130962848147,72.44869037151854,0.4461209676832718,0.68
RAT.LSE,RAT.LSE,Rathbone Brothers PLC,0.3860499420606904,61.395005793930956,0.43650403365211,0.78
REL.LSE,REL.LSE,Relx PLC,0.23773685712432713,76.22631428756729,0.5363628227209956,0.68
RICA.LSE,RICA.LSE,Ruffer Investment Company Limited,0.22372621720708208,77.62737827929179,0.5910836699274468,0.68
RKT.LSE,RKT.LSE,Reckitt Benckiser Group PLC,0.2719575407292591,72.80424592707408,0.4299503021168027,0.68
RMV.LSE,RMV.LSE,Rightmove PLC,0.2719575407292591,72.80424592707408,0.518854053112464,0.68
ROR.LSE,ROR.LSE,Rotork PLC,0.2675130962848147,73.24869037151853,0.4178851009949296,0.68
RS1.LSE,RS1.LSE,RS GROUP PLC,0.23013090517370355,76.98690948262966,0.49233493417685936,0.68
RSW.LSE,RSW.LSE,Renishaw PLC,0.30438420739592575,69.56157926040743,0.3638376687472032,0.68
RTO.LSE,RTO.LSE,Rentokil Initial PLC,0.5272622002903127,47.27377997096873,0.20922183965484742,0.78
S32.LSE,S32.LSE,South32 Ltd,0.333384304112829,66.6615695887171,0.2459260852065403,0.68
SAFE.LSE,SAFE.LSE,Safestore Holdings Plc,0.95,5.000000000000004,0,0.78
SBRY.LSE,SBRY.LSE,J Sainsbury PLC,0.37448458645558325,62.551541354441675,0.3287754249390808,0.78
SCT.LSE,SCT.LSE,Softcat plc,0.2269575407292591,77.30424592707409,0.4467140686388389,0.68
SDLF.LSE,SDLF.LSE,Standard Life PLC,0.6286332328725289,37.13667671274711,0,0.78
SDR.LSE,SDR.LSE,Schroders PLC,0.24694327539402372,75.30567246059763,0.5441704676694914,0.68
SEPL.LSE,SEPL.LSE,Seplat Petroleum Development Company PLC,0.2863248873377324,71.36751126622676,0.5231713157215937,0.68
SEQI.LSE,SEQI.LSE,Sequoia Econ Infrastructure,0.5088277198384681,49.11722801615319,0.3304595120606822,0.78
SGE.LSE,SGE.LSE,Sage Group PLC,0.27862420739592575,72.13757926040742,0.47655900008568325,0.68
SGRO.LSE,SGRO.LSE,Segro Plc,0.4772359925127285,52.27640074872715,0.23372445138166442,0.78
SHC.LSE,SHC.LSE,Shaftesbury Capital PLC,0.26788857521201775,73.21114247879822,0.39304729406095457,0.68
SHEL.LSE,SHEL.LSE,Shell plc,0.25240198517370355,74.75980148262964,0.5062861837101654,0.68
SMIN.LSE,SMIN.LSE,Smiths Group PLC,0.5312908740625925,46.870912593740755,0.11870912593740757,0.78
SNR.LSE,SNR.LSE,Senior PLC,0.33854271249002815,66.14572875099718,0.2078183825263153,0.68
SPX.LSE,SPX.LSE,Spirax Group plc,0.33916642961814797,66.0833570381852,0.3867946367687844,0.68
SQZ.LSE,SQZ.LSE,Serica Energy PLC,0.8842940508592263,11.57059491407737,0,0.78
